P32_ALL,DIFFRACTION_ALL,INVERSION_AI,FAULTS,VREZY,TOLSCHI,FUNDAMENT,PROVODKA,DH_B_R0,DIFFRACTION_ALL_SM,MAX_DIFFRACTION,MIN_DIFFRACTION,STACK_MINUS_MAX_DIFFRACTION,STACK_MINUS_MIN_DIFFRACTION,STACK_MULT_MAX_DIFFRACTION,STACK_MULT_MIN_DIFFRACTION,PERV,INVERSION_AI_COLL,THICKNESS_R0_R4,RMS_AMPLITUDE,FAULTS_PROBABILITY,FAULTS_AND_FAULTS_PROBABILITY,WELL
4.5180778503,1.2057723999,18542.541016,1947.3012695,5077.9921875,950.75244141,11048.442383,88.98236084,187.24645996,1.6827540398,2.9590954781,0.0997367948,6.6886329651,9.5479917526,3.7285568714,0.1373535693,7.8116822243,18544.0,261.0335083,410914.1875,440.21087646,440.21087646,0
4.2886285782,1.3961832523,18555.037109,1951.8007813,5081.2851563,956.73779297,11040.910156,89.124053955,187.13246155,1.6877866983,3.2906701565,0.1482459754,7.8780641556,11.020488739,4.7255144119,0.2066506147,7.6982364655,18556.515625,260.56988525,534852.4375,448.23724365,448.23724365,0
4.034579277,1.5549043417,18572.539063,1955.795166,5084.5351563,962.81225586,11033.348633,89.240432739,187.02233887,1.6934196949,3.6034212112,0.1804942638,8.8287563324,12.251684189,5.6679925919,0.2676218152,7.5888442993,18573.75,260.09057617,681095.375,456.26635742,456.26635742,0
3.6986191273,1.6645994186,18603.113281,1958.4498291,5087.6621094,968.96557617,11025.779297,89.391693115,186.9211731,1.7008728981,3.8346982002,0.2629740834,9.4616308212,13.033355713,6.4552307129,0.4450374246,7.4914574623,18603.484375,259.5663147,812521.6875,464.45922852,464.45922852,0
3.2485523224,1.7805538177,18636.769531,1960.6767578,5090.7509766,975.16888428,11018.183594,89.631759644,186.82009888,1.708306551,4.0577940941,0.3731058538,10.15253067,13.837219238,7.2707734108,0.6694228649,7.3914375305,18636.367188,259.02685547,922355.6875,472.58978271,472.58978271,0
2.7720320225,1.8281191587,18673.244141,1960.8206787,5093.8457031,981.45910645,11010.591797,89.876342773,186.72161865,1.7178606987,4.184530735,0.3416466117,10.402694702,14.245578766,7.663025856,0.6223285794,7.3072528839,18672.115234,258.39373779,985351.625,480.86605835,480.86605835,0
2.3824307919,1.8477621078,18711.529297,1959.7304688,5097.0380859,987.71313477,11003.068359,90.244239807,186.62460327,1.7281751633,4.2474226952,0.2331770211,10.498715401,14.512960434,7.8367500305,0.4302254319,7.2316322327,18709.919922,257.7208252,965041.1875,489.23190308,489.23190308,0
2.1166872978,1.843441844,18747.539063,1956.3837891,5100.2407227,994.02868652,10995.555664,90.624511719,186.52526855,1.7388222218,4.2463464737,0.1411958635,10.468963623,14.574113846,7.81681633,0.2613267899,7.1665372849,18745.574219,257.05914307,924606.875,497.6427002,497.6427002,0
2.0176782608,1.7947611809,18781.402344,1950.0283203,5103.5615234,1000.4118652,10988.115234,91.033088684,186.41516113,1.7516136169,4.1235074997,0.1227257997,10.203836441,14.204618454,7.4009885788,0.2242743969,7.1398458481,18779.556641,256.4085083,810951.6875,506.26916504,506.26916504,0
2.1548466682,1.7490782738,18815.046875,1943.4050293,5106.9873047,1006.7220459,10980.749023,91.473571777,186.30291748,1.764113903,3.9834780693,0.1227053255,9.977104187,13.837877274,6.9607114792,0.2199196219,7.1114091873,18813.345703,255.75186157,689108.8125,514.91271973,514.91271973,0
